本田正和,68,9920,5.22,共産,新,0,0
宮元智,57,3472,1.83,諸派,新,0,0
西田昭二,48,80416,49.05,自民,新,1,1
近藤和也,43,78306,47.77,希望,元,2,0
鈴木宏太,36,5212,3.18,共産,新,0,0
稲田朋美,58,116969,57.34,自民,前,5,1
鈴木宏治,43,64086,31.42,希望,新,0,0
金元幸枝,59,22931,11.24,共産,新,0,0
高木毅,61,80895,54.18,自民,前,7,1
斉木武志,43,55537,37.2,希望,元,2,0
猿橋巧,63,12873,8.62,共産,新,0,0
中島克仁,50,107007,44.34,無所,前,3,1
中谷真一,41,105876,43.87,自民,前,3,0
宮内現,35,21320,8.83,共産,新,0,0
西脇愛,32,7119,2.95,諸派,新,0,0
堀内詔子,51,70532,40.12,自民,前,3,1
長崎幸太郎,49,67434,38.36,無所,前,3,0
小林弘幸,45,22684,12.9,立憲,新,0,0
井桁亮,48,9719,5.53,希望,新,0,0
大久保令子,67,5414,3.08,共産,新,0,0
篠原孝,69,131883,54.06,無所,前,6,1
小松裕,55,85460,35.03,自民,前,2,0
橋本将之,37,22817,9.35,維新,新,0,0
駒村幸成,61,3784,1.55,諸派,新,0,0
下条みつ,61,78343,35.47,希望,元,4,1
務台俊介,61,67210,30.43,自民,前,3,0
中川博司,59,41274,18.68,社民,新,0,0
手塚大輔,34,34073,15.42,維新,新,0,0
井出庸生,39,127542,53.05,希望,前,3,1
木内均,53,74722,31.08,自民,前,2,0
小金沢由佳,34,34462,14.33,共産,新,0,0
及川幸久,57,3687,1.53,諸派,新,0,0
後藤茂之,61,68673,45.65,自民,前,6,1
毛利栄子,66,40898,27.19,共産,新,0,0
寺島義幸,64,40863,27.16,希望,元,1,0
宮下一郎,59,91542,49.87,自民,前,5,1
曽我逸郎,61,48588,26.47,無所,新,0,0
中嶋康介,40,43425,23.66,希望,新,0,0
野田聖子,57,103453,64.51,自民,前,9,1
吉田里江,51,43688,27.24,無所,新,0,0
服部泰輔,36,8113,5.06,無所,新,0,0
野原典子,60,5124,3.19,諸派,新,0,0
棚橋泰文,54,117278,75.4,自民,前,8,1
森桜房義,60,38270,24.6,共産,新,0,0
武藤容治,62,127308,56.88,自民,前,4,1
阪口直人,54,68404,30.56,希望,元,2,0
井上諭,50,28093,12.55,共産,新,0,0
金子俊平,39,107473,49.19,自民,新,1,1
今井雅人,55,92370,42.28,希望,前,4,0
籠山恵美子,63,18634,8.53,共産,新,0,0
古屋圭司,64,92113,54.05,自民,前,10,1
阿知波吉信,54,57982,34.02,希望,元,1,0
小関祥子,64,20318,11.92,共産,新,0,0
上川陽子,64,96500,46.88,自民,前,6,1
小池政就,43,56086,27.25,希望,元,1,0
青山雅幸,55,38531,18.72,立憲,新,1,0
鈴木千佳,46,14732,7.16,共産,新,0,0
井林辰憲,41,130857,57.19,自民,前,3,1
松尾勉,33,75771,33.12,希望,新,0,0
四ツ谷恵,65,22173,9.69,共産,新,0,0
宮沢博行,42,97923,44.51,自民,前,3,1
小山展弘,41,81568,37.08,無所,前,2,0
鈴木望,68,40495,18.41,希望,元,1,0
望月義夫,70,96243,55.87,自民,前,8,1
田中健,40,57581,33.43,希望,新,0,0
松原聡,55,18437,10.7,共産,新,0,0
細野豪志,46,137523,54.85,希望,前,7,1
吉川赳,35,92467,36.88,自民,元,1,0
井口昌彦,63,20750,8.28,共産,新,0,0
渡辺周,55,108788,46.02,希望,前,8,1
勝俣孝明,41,108157,45.75,自民,前,3,0
内田豊,63,19455,8.23,共産,新,0,0
城内実,52,129463,65.81,自民,前,5,1
福村隆,54,29905,15.2,希望,新,0,0
日吉雄太,49,26383,13.41,立憲,新,1,0
野沢正司,68,10980,5.58,共産,新,0,0
塩谷立,67,101858,50.92,自民,前,9,1
源馬謙太郎,44,78524,39.26,希望,新,1,0
嶋田初江,69,19645,9.82,共産,新,0,0
熊田裕通,53,74298,41.11,自民,前,3,1
吉田統彦,42,57780,31.97,立憲,元,2,0
佐藤夕子,54,48633,26.91,希望,元,1,0
古川元久,51,99520,50.13,希望,前,8,1
田畑毅,45,71600,36.06,自民,前,3,0
酒井健太朗,31,27423,13.81,共産,新,0,0
近藤昭一,59,98595,46.85,立憲,前,8,1
池田佳隆,51,76220,36.22,自民,前,3,0
余語冴耶香,39,35611,16.92,希望,新,0,0
工藤彰三,52,76446,45.09,自民,前,3,1
牧義夫,59,63207,37.28,希望,前,6,0
西田敏子,63,29885,17.63,共産,新,0,0
赤松広隆,69,91081,46.49,立憲,前,10,1
神田憲次,54,72651,37.08,自民,前,3,0
野々部尚昭,47,32179,16.43,希望,新,0,0
丹羽秀樹,44,114894,50.79,自民,前,5,1
森本和義,51,75069,33.18,希望,元,1,0
田上光徳,66,23499,10.39,共産,新,0,0
平山良平,69,12764,5.64,社民,新,0,0
山尾志桜里,43,128163,50.16,無所,前,3,1
鈴木淳司,59,127329,49.84,自民,前,5,0
伊藤忠彦,53,108477,46.15,自民,前,4,1
伴野豊,56,106625,45.37,無所,前,5,0
長友忠弘,58,19931,8.48,共産,新,0,0
長坂康正,60,104419,47.5,自民,前,3,1
岡本充功,46,89908,40.9,希望,前,5,0
渡辺裕,37,25489,11.6,共産,新,0,0
江崎鉄磨,74,88171,39.01,自民,前,7,1
安井美沙子,52,66560,29.45,希望,新,0,0
杉本和巳,57,44258,19.58,維新,元,3,0
板倉正文,59,27044,11.96,共産,新,0,0
古本伸一郎,52,134698,53.8,希望,前,6,1
八木哲也,70,96978,38.74,自民,前,3,0
本多信弘,41,18685,7.46,共産,新,0,0
重徳和彦,46,149587,55.65,無所,前,3,1
青山周平,40,104811,39.0,自民,前,2,0
宮地勲,63,14378,5.35,共産,新,0,0
大西健介,46,116471,47.42,希望,前,4,1
大見正,59,109581,44.61,自民,前,3,0
下島良一,71,19589,7.97,共産,新,0,0
今枝宗一郎,33,96303,55.27,自民,前,3,1
田中克典,43,60955,34.99,希望,新,0,0
金原信之,57,16969,9.74,共産,新,0,0
